Signature_name	Gene_list
Colon.D20.C.glia	ADAM23,ATP1A2,CDH19,CHL1,COL12A1,DTNA,GRIK2,IGSF11,IL1RAPL1,KCNQ5,KLHL29,LRRC4C,NCAM1,NKAIN2,PLCE1,PPP2R2B,RORA,SCN7A,SGIP1,SLC35F1,SNTB1,SORCS1,TGFB2,TMPRSS5,ZEB2,ZFHX4
Colon.D20.C.goblet	ACTB,ACTG1,ACTN4,AHNAK,AQP8,ATP12A,ATP1A1,ATP1B1,CA4,CALM1,CDHR5,CDKN1A,CEACAM1,CEACAM20,CKMT1,CLCA1,CLDN3,CLDN7,CLIC5,COX8A,DSG2,EIF2S2,EPCAM,EZR,FCGBP,FHL1,FTH1,GCNT1,GGH,ITM2B,JUND,KLF4,KRT19,KRT20,KRT8,LGALS3,LYPD8,MUC13,MXD1,PKM,PLAC8,PLEC,PMP22,PRDX6,REP15,S100A6,SCNN1A,SECTM1B,SELENOP,SLC15A1,SLC26A2,SLC26A3,SLC6A8,SPINK1,ST3GAL4,SVAL1,SYCN,TFF3,TGM3,TSPAN1,ZG16
Colon.D20.C.lymphatic	CALCRL,CP,ELK3,FMNL2,GALNT18,KLHL4,LAMA4,LYVE1,MAF,MMRN1,NTN1,NXN,PARD6G,PROX1,RELN,RHOJ,SEMA3D,THSD7A,TIMP3,WIPF3
Colon.D20.C.macrophage	F13A1,MRC1,MYO1F,PID1,TBXAS1,ZEB2
Colon.D20.C.mesothelial	AEBP1,BNC2,C3,DCN,EFEMP1,EFNA5,FMO2,GAS1,GPM6A,IGFBP6,MEIS1,MEIS2,PLXNA4,RARRES2,SULF1,TM4SF1,WDR17
Colon.D20.C.myocyte.c1	ATP2B4,CACNA1C,CACNA2D1,CACNB2,CALD1,CHRM2,DLC1,DMD,ENAH,FOXP2,KCND3,LMOD1,MAGI2,MEIS2,MSRB3,MYH11,PCDH7,PDLIM3,PGM5,RBPMS,RYR2,RYR3,SAMD4A,SEMA3A,SGCD,SNTG2,SYNPO2,ZFPM2
Colon.D20.C.myocyte.c2	ARHGAP6,ATP2B4,AUTS2,CACNA1C,CACNA1E,CACNA2D1,CACNB2,CALD1,DLC1,DMD,FILIP1,FNBP1,FOXP2,FRMD6,ITGA1,KCNIP1,KCNMA1,KLHL32,LPP,LRRC49,MAGI2,MEIS1,MEIS2,MSRB3,MYH11,NIBAN1,NXN,PDE3A,PGM5,PPM1L,PPP1R12A,PPP1R12B,RBPMS,RORA,RYR3,SGCD,SLC24A3,SLC8A1,SNTG2,SORBS1,SPARCL1,SVIL,SYNPO2,TNS1,TSHZ2,ZBTB16,ZBTB20
Colon.D20.C.neuron.c1	ADGRB3,AGBL4,AKAP6,ANK2,CADPS,CELF4,CNTN1,CTNNA2,CTNND2,DGKI,DLG2,DPP6,DSCAM,ELAVL4,ERC2,FGF13,FHOD3,FSTL5,GABRB3,GARNL3,GRIA4,KCNC2,KCNQ3,KHDRBS2,LRFN5,MAGI2,MAP1B,MAPK10,MDGA2,MYT1L,NAV3,NCAM1,NCAM2,NDST4,NRXN1,PCBP3,PCDH15,PCLO,PCSK2,PPFIA2,RAB3C,RBMS3,RIT2,RTN1,SGIP1,SNAP25,SNHG11,SYT1,UNC79
Colon.D20.C.neuron.c2	SCG2
Colon.D20.C.stem.c1	CERS6,CFTR,HMGCS2,HTR4,KCNQ1,MECOM,PDE8B,PIGR,PTPRD,PTPRK,SATB2,SEMA5A,SLC12A2
Colon.D20.C.stem.c2	B4GALNT3,CAMK1D,CFTR,ESRRG,HNF4G,HTR4,MECOM,NXPE2,PDE3A,PDE7A,PIGR,PTPRK,SATB2,SEMA5A,SLTM,ST6GALNAC6,WDR89
Colon.D20.C.Tcell	ARHGAP15,PTPRC,SKAP1,ST6GALNAC3
Colon.D20.C.ta.c1	5330417C22RIK,AGR2,C1GALT1,CA8,CHN2,CHRM3,CREB3L1,EHF,ERN2,FAM3D,FUT8,GALNT10,GALNT7,GCC2,GFPT1,GMDS,GNE,HEPACAM2,ICA1,KCNMA1,KLF12,MCTP1,MGAT5,NIPAL2,PDXDC1,PDZRN3,PLCB1,PLCB4,PTPRN2,PTPRT,RAPGEF5,RRBP1,SIDT1,SLC12A8,SPDEF,ST3GAL3,SYBU,SYTL2,TNFAIP8,TOX,TSC22D1,ZDHHC14
Colon.D20.C.ta.c2	ABCB1A,ADK,AKR1C19,ATP2B1,ATRNL1,CAR1,CHD9,CORO2A,DPYD,ERBIN,FA2H,FAM162A,FKBP5,HMGCS2,HSD3B3,MAOA,MGAT4C,MIER1,MYO1D,NR1H4,NR3C2,PAPSS2,PBX1,PCSK5,PDE3A,PPARA,PPARG,PRKCA,PROM1,PTPRD,RBM47,SELENBP1,SLC35D1,SLC8A1,UGDH,VDR
Colon.D20.C.ta.c3	5330417C22RIK,ATP2A3,ATRNL1,BAIAP2L1,BCAS1,CLCA1,FCGBP,FER1L6,FUT8,GALNT10,GALNT7,HEPACAM2,HSD11B2,INPP4B,IQGAP2,KCNMA1,MGAT5,MYO5C,NR3C2,PDE4D,PLCB1,PTPRN2,RAB27B,REP15,SCIN,SIDT1,SLC4A7,SRGAP1,ST6GAL1,SVAL1,SYTL2,TNFAIP8,TSC22D1
Colon.D20.C.ta.c4	5330417C22RIK,ABCB1A,ADK,AKAP13,ATP8B1,ATRNL1,FAM3D,FKBP5,FUT8,GALNT7,GFPT1,GMDS,HMGCS2,HSD3B3,KCNMA1,LUC7L2,MAGI1,MGAT5,NR3C2,PDXDC1,PIP5K1B,PRKCA,PTPRD,TNFAIP8,TOX
Colon.D20.C.ta.c5	ACTB,ACTG1,AHNAK,ALDH2,ANO1,ATP1A1,ATP1B1,B3GNT7,CAR2,CDH1,CKMT1,COX8A,EEF1A1,ESRRG,FTH1,FTL1,HAO2,HINT1,KRT19,KRT8,LYPD8,NME7,NRG1,PIGR,PRDX6,S100A6,SCD2,SLC26A2,SLC5A8,SLC6A14,SYCN,TGM3,TGOLN2,TSPAN1,WDR89
Colon.D20.C.ta.c6	5330417C22RIK,FAM3D,FUT8,GALNT7,GMDS,GOLPH3L,KCNMA1,NFIA,PDE4D,PDXDC1,PTPRK,SLC12A2,SLC12A8,ST3GAL6,SVAL1,TNFAIP8,TOX
Colon.D20.C.ta.c7	ACTB,ACTG1,ALDOA,ATP1A1,ATP1B1,ATP5F1A,ATP5F1B,BSG,CAR1,CEACAM1,CHD9,CLDN7,COX6A1,COX8A,EEF1A1,EEF2,EPCAM,FTL1,GUCA2A,HSPA8,KRT19,KRT8,LGALS3,LGALS4,LYPD8,MUC13,NKAIN2,PIGR,PRDX6,PSAP,S100A6,SLC25A5,SLC26A2,TGOLN2,TMSB4X,TSPAN1,WDR89,ZG16
Colon.D20.C.tuft	CHN2,DCLK1,DGKI,FYB1,HCK,HPGDS,IL13RA1,INPP5D,ITPR2,LRMP,MAP2,MYO1B,NAV2,NEBL,PLCG2,POU2F3,PPP3CA,PSTPIP2,RGS13,RUNX1,SLC9A9,ST18,STRIP2,TANC2
Colon.D20.C.vascular	ARHGAP31,CALCRL,DNM3,EBF1,ELN,FGD5,FLT1,HEG1,LDB2,LRRC8C,PREX2,PRKCH,PTPRB,PTPRM
Colon.J20.immune.Bcell.follicular	ADAM28,AFF3,BANK1,BCL11A,CD19,CD22,CD37,CD52,CD72,CD74,CD79B,CD83,CXCR4,DRAM2,FCER2,FCMR,FCRL1,HVCN1,IGHM,IL4R,IRF8,LAPTM5,LIMD2,LTB,MEF2C,MS4A1,NCF1,NIBAN3,RCSD1,RNASE6,SELL,SNX2,STX7,SWAP70,TCL1A,TNFRSF13C,TSPAN13,VPREB3,YBX3
Colon.J20.immune.Bcell.iga_plasma	ALG5,ANKRD28,CCPG1,CCR10,CD27,CD63,CHPF,CLIC4,CREB3L2,CRELD2,DDOST,DERL3,DNAJB9,DNAJC3,EAF2,ERGIC3,ERLEC1,FCRL5,FKBP2,FNDC3B,GMPPB,GNG7,GSTP1,HDLBP,HERPUD1,HM13,HSP90B1,HSPB1,ITM2C,JCHAIN,KDELR1,KDELR2,LGALS1,LMAN1,LMAN2,MANF,MYDGF,MZB1,NME1,NUCB2,P4HB,PDIA4,PDIA6,PLPP5,POU2AF1,PRDX4,PYCR1,RABAC1,RASGRP3,RPN1,RPN2,RRBP1,SDC1,SDF2L1,SEC11C,SEC61B,SEL1L,SIL1,SLAMF7,SPAG4,SPATS2,SPCS1,SPCS2,SPCS3,SSR3,SSR4,TIMP1,TMED10,TMED9,TMEM205,TMEM208,TNFRSF17,TPD52,TRIB1,TXNDC11,TXNDC15,UAP1,UBE2J1,WNT10A,XBP1
Colon.J20.immune.Bcell.igg_plasma	ALG5,BHLHE41,CCPG1,CCR10,CD27,CD38,CHPF,CREB3L2,CRELD2,DERL3,DNAJC3,EAF2,ERLEC1,FBXW7,FCRL5,FKBP2,FNDC3A,FNDC3B,HDLBP,HM13,HSP90B1,IGHG1,ITGB7,ITM2C,JCHAIN,KDELR2,LMAN1,MANF,MYDGF,MZB1,NME1,PDIA4,PDIA6,PLPP5,POU2AF1,PRDX4,RRBP1,SDC1,SDF2L1,SEC11C,SEL1L,SIL1,SLAMF7,SPAG4,SPATS2,SPCS3,SSR3,TNFRSF17,TOR3A,TRIB1,TXNDC11,TXNDC15,UBE2J1,XBP1
Colon.J20.immune.Bcell.memory	ADAM28,AIM2,ARHGAP24,BANK1,BCL11A,BLK,CD19,CD22,CD24,CD37,CD74,CD79B,CD83,CXCR5,DRAM2,EZR,FCRLA,IRF8,LAPTM5,LTB,LY86,LY9,MARCKSL1,MEF2C,MS4A1,P2RX5,PDLIM1,PKIG,POU2F2,REL,RGS2,SMARCB1,SMIM14,SPIB,SWAP70,SYPL1,TCF4,TNFRSF13B,TNFRSF13C,VPREB3
Colon.J20.immune.dc.cdc1	AIF1,AP2S1,ARPC1B,ASAP1,ASB2,ATG3,BASP1,BATF3,BID,CADM1,CCND1,CD74,CLEC7A,CLEC9A,CLNK,COTL1,CPNE3,CPVL,CSF2RA,CST3,CSTB,CTSZ,CXCL16,CYB5R3,DNASE1L3,FAM49B,FCGRT,FGL2,GRN,GSTP1,H2AFY,HCK,ID2,IDO1,IRF8,KCNK6,LGALS1,LGALS2,LSM6,LSP1,LYZ2,MS4A6A,NAP1L1,NET1,PAK1,PGLS,PLEK,PLEKHO1,PPT1,PSAP,PSMB9,PTMS,PTPRE,PYCARD,RAB32,RAB7B,RAC1,RGCC,RGS10,RNASE6,RNASET2,S100A11,S100B,SAT1,SERPINF2,SGK1,SHTN1,SMCO4,SNX3,SPI1,SPINT2,TYMP,UCP2
Colon.J20.immune.dc.cdc2	AIF1,ALDH2,ANXA5,AP2S1,ARPC1B,ARPC3,ARPC5,BID,CCDC88A,CD68,CD74,CD86,CEBPD,CFP,CLEC10A,CLEC4A,CLEC7A,COTL1,CPVL,CSF2RA,CST3,CTSH,CTSZ,CXCL16,DNASE1L3,EFHD2,ETS2,FAM110A,FCER1A,FCER1G,FCGRT,FGL2,GCA,GDI2,GPAT3,GRN,GSN,GSTP1,H2AFY,HCK,IFI30,IGSF6,IL1B,ITGB2,JAML,KLF4,LCP1,LGALS2,LGALS9,LITAF,LSP1,LST1,LYZ2,MS4A6A,NPC2,PAK1,PKIB,PLBD1,PLD4,PLSCR1,PTMS,PTPRE,PYCARD,RAC1,RGS10,RHOG,RNASE6,RNASET2,S100A11,SAMHD1,SLC8A1,SMCO4,SPI1,SPINT2,TMEM14C,TYMP,TYROBP,VAMP8
Colon.J20.immune.dc.cycling	AIF1,ANXA2,ANXA5,AP2S1,APLP2,ARPC5,C1QA,C1QB,C1QC,CAPG,CCDC88A,CD14,CD68,CD74,CKS1B,CLEC10A,CLEC7A,CLTA,COTL1,CPVL,CST3,CSTA,CTSB,CTSC,CTSH,CTSS,CTSZ,CYBB,DBI,DEK,FCER1G,FCGRT,FGL2,GGH,GLUL,GNAI2,GNG5,GRN,GSN,H2AFV,H2AFY,H2AFZ,HMGB1,HMGB2,HMGN2,IGSF6,ITGB2,JAML,LGALS1,LST1,LYZ2,MAFB,MARCKS,MKI67,MNDA,MS4A6A,MS4A7,NPC2,PKM,PPIA,PPT1,PSAP,PTMS,PYCARD,RAB31,RAC1,RBX1,RHOA,RNASE6,S100A11,SAMHD1,SLC25A5,SMC4,SPI1,STMN1,TGFBI,TUBA1B,TUBB5,TYMP,TYROBP,VAMP8,VSIG4,YWHAH
Colon.J20.immune.dc.lymphoid	BIRC3,CTSH,FAM49A,GABARAPL2,GSN,GSTP1,LAMP3,MARCKSL1,PTPN1,RAB9A,TYMP,TYROBP
